#{"t_start": 1571866101.9056058, "env_id": "highway-discrete-v0"}
r,l,t
-28.742337,78,7.384055
-68.548203,196,23.171417
-41.631289,84,30.875618
-11.676217,49,36.36631
-30.822189,56,43.172967
-15.465651,49,49.094133
-18.963667,39,53.853717
-31.406744,85,63.947758
-67.24029,169,83.538367
-49.43722,125,98.424257
-22.030075,50,104.569226
-26.769488,53,111.963315
-24.824397,49,119.848595
-19.518869,50,156.300168
-29.994254,68,167.041771
-35.366603,77,211.783579
-16.712,34,246.10777
-39.486471,100,292.150506
-41.755854,95,336.056682
-34.641911,86,353.991461
-8.985934,20,379.159879
-11.571132,28,385.11253
-26.691001,69,420.856909
-27.665019,44,429.817602
-70.986377,148,523.574468
-14.137446,35,532.642487
-12.182535,27,540.216721
-16.02918,40,599.210433
-53.68435,127,662.516498
-14.079807,35,669.090173
-14.647185,33,676.068339
-34.858095,83,726.773625
-27.008028,69,773.396907
-17.132695,44,781.020303
-17.292122,37,822.213453
-8.060815,16,825.592083
-42.044561,78,871.415933
-15.081322,40,879.364995
-112.469564,300,1044.87834
-20.315719,35,1054.02732
-13.910303,35,1087.719056
-12.139705,34,1094.815931
-37.1162,92,1143.832431
-48.639217,151,1232.812017
-40.03189,91,1282.062938
-9.523745,25,1286.836009
-11.253309,29,1292.45318
-39.631434,100,1335.247045
-30.164116,83,1373.944983
-72.459234,193,1445.602728
-14.783727,48,1452.524936
-17.565725,41,1481.932618
-10.709282,43,1488.297861
-16.875226,35,1493.622054
-20.362211,34,1521.796421
-6.446987,16,1524.246422
-26.042998,83,1561.833317
-10.948617,26,1565.56359
-8.234383,28,1569.515937
-92.858136,247,1654.560461
-9.121497,23,1658.015681
-98.803431,216,1709.803203
-29.705391,87,1732.885179
-16.436285,38,1738.683539
-6.691356,22,1749.573443
-12.238207,31,1755.030976
-44.672157,117,1780.970849
-20.123178,53,1796.477611
-29.93336,72,1808.104716
-44.942785,87,1828.467028
-8.587748,24,1836.750607
-42.929184,116,1858.016071
-14.121389,32,1863.437916
-49.799467,131,1887.516224
-30.858591,88,1905.840641
-29.17508,65,1921.415214
-28.600817,63,1932.040507
-26.608036,57,1945.87979
-38.21867,96,1963.993145
-11.857284,24,1968.229597
-10.952991,28,1977.971692
-37.24151,92,1991.707532
-16.866767,38,2002.377681
-78.296087,187,2041.734282
-15.246954,38,2046.652784
-26.816061,86,2065.283863
-10.404313,24,2068.495211
-15.704498,39,2082.030486
-111.93722,262,2132.678986
-23.505144,57,2149.598648
