episodes,mean 100 episode reward per step,% time spent exploring,steps,mean 100 episode reward
1,-inf,100,0,-inf
3,-14.914012661326876,99,100,-618.5
5,-18.236260751560465,99,200,-616.1
6,-15.628376618895038,99,300,-624.9
8,-15.816863625383627,99,400,-622.4
9,-14.471583908626828,99,500,-628.0
11,-14.367411060895387,98,600,-625.6
13,-15.195488132303163,98,700,-623.5
16,-16.357703540163474,98,800,-621.2
17,-16.011391084686636,98,900,-621.6
18,-15.518672585002077,98,1000,-622.3
18,-15.518672585002077,97,1100,-622.3
19,-14.806513426129506,97,1200,-627.0
23,-16.460392817505422,97,1300,-623.8
25,-16.706174627846163,97,1400,-623.6
28,-16.796660241208194,97,1500,-622.5
31,-16.812783488884737,96,1600,-621.7
32,-16.49493054475291,96,1700,-622.5
36,-17.420365519540766,96,1800,-621.4
39,-17.920377192835197,96,1900,-620.5
41,-17.704402723229855,96,2000,-620.8
41,-17.704402723229855,95,2100,-620.8
43,-17.773625949891496,95,2200,-621.4
45,-17.40061196920136,95,2300,-621.8
48,-17.45423432663442,95,2400,-621.5
49,-17.875952600074257,95,2500,-621.1
51,-17.583241219711894,94,2600,-621.7
52,-17.433235454117803,94,2700,-622.0
54,-17.126938794781097,94,2800,-622.2
55,-17.101073745475052,94,2900,-622.1
57,-17.09439937651522,94,3000,-622.5
59,-17.208491962000835,93,3100,-622.1
62,-17.235506052203437,93,3200,-622.0
64,-17.13872183455086,93,3300,-621.8
65,-17.028481186108245,93,3400,-621.8
66,-16.833452725319322,93,3500,-622.3
67,-16.826767799974135,92,3600,-622.3
69,-16.606369400708623,92,3700,-622.6
71,-16.69419083094478,92,3800,-622.2
73,-16.510102087238746,92,3900,-622.0
74,-16.382961312340964,92,4000,-622.5
75,-16.271646345619626,91,4100,-622.9
76,-16.145426102175225,91,4200,-623.3
78,-15.955041493698587,91,4300,-623.7
79,-16.061793770030352,91,4400,-623.5
82,-16.270118107262636,91,4500,-623.1
84,-16.099056029599954,90,4600,-623.4
86,-16.059214027466194,90,4700,-623.3
88,-16.05220468703831,90,4800,-623.2
88,-16.05220468703831,90,4900,-623.2
90,-15.891928637611791,90,5000,-623.7
92,-15.817521996434907,90,5100,-623.5
93,-15.746003368660993,89,5200,-623.6
95,-15.810438797168795,89,5300,-623.5
96,-15.716999527209639,89,5400,-623.8
98,-15.596190003622393,89,5500,-624.0
101,-15.839951337143882,89,5600,-623.7
102,-15.781650222255834,88,5700,-623.7
103,-15.708641689912078,88,5800,-624.3
105,-15.72833577309657,88,5900,-624.4
106,-15.736099746691501,88,6000,-624.3
109,-15.973680325142167,88,6100,-623.9
110,-15.883031454146433,87,6200,-623.8
113,-15.763577797315433,87,6300,-624.2
116,-15.887563217578212,87,6400,-624.0
118,-15.942771648366351,87,6500,-623.7
121,-16.12865754777178,87,6600,-622.7
123,-15.902337017359395,86,6700,-623.1
123,-15.902337017359395,86,6800,-623.1
126,-15.716536915225381,86,6900,-623.2
128,-15.65049746830807,86,7000,-623.3
