#{"t_start": 1571866141.4538581, "env_id": "highway-continuous-v0"}
r,l,t
-30.978387,87,12.459139
-10.058254,29,15.794706
-706.528947,35,19.613259
-7.431614,23,22.375523
-668.989037,51,28.266838
-715.80098,32,31.977375
-663.845561,64,39.056581
-670.368334,40,43.563993
-679.035751,67,51.007397
-12.240194,28,54.285348
-658.605183,22,56.792904
-12.263637,26,59.735722
-14.918273,52,65.465954
-660.924863,60,72.584719
-21.110694,64,80.907029
-655.057148,35,85.52035
-663.413836,34,90.066476
-728.420426,45,96.015555
-7.837557,25,99.422657
-663.612609,35,104.09425
-23.583345,50,112.562748
-17.588553,34,117.443728
-677.676246,27,121.273768
-734.333086,94,134.757097
-732.455124,174,160.472818
-16.690613,61,168.80857
-654.096411,88,180.896862
-11.484831,26,184.915508
-652.907126,42,190.976262
-653.779618,45,197.846786
-683.161976,50,205.413212
-660.659744,40,211.181209
-697.347389,114,227.155677
-665.993996,136,246.179383
-12.504817,51,253.498667
-714.621623,39,259.300277
-654.325078,78,270.550954
-726.774995,33,275.570334
-34.420366,117,292.094439
-682.96722,48,298.766232
-792.797416,45,305.193101
-641.288922,32,309.677007
-729.278481,35,315.125266
-668.241922,32,320.036641
-680.234085,72,330.31448
-697.902962,62,339.271834
-651.266223,62,347.894014
-20.348821,63,357.073248
-654.352256,45,363.813505
-685.161731,151,385.174526
-774.253624,84,396.805711
-688.593233,32,401.462168
-8.646184,22,404.572087
-705.46787,47,411.66204
-664.508354,28,415.529961
-256.684367,162,438.703537
-669.37496,33,443.460515
-24.759253,58,453.363318
-11.911341,36,459.80317
-10.657065,66,470.863016
-646.022112,59,480.409373
-1118.11075,71,492.707254
-859.663299,241,540.036057
-10.203633,30,546.359295
-60.916466,85,560.994499
-687.018291,87,576.301795
-194.716134,140,599.281982
-21.74608,85,613.63936
-15.473076,41,619.999546
-719.858907,95,634.012906
-659.190807,89,648.964137
-676.791522,87,662.165679
-686.424613,93,675.948772
-30.654977,125,694.337399
-14.295928,39,700.270477
-672.322611,54,707.846791
-41.709382,71,718.480663
-16.626328,41,724.655299
-9.104253,22,728.153166
-49.299705,135,747.980128
-25.288481,62,757.360296
-655.629038,45,764.172322
-643.639848,44,771.018948
-8.43301,23,774.465458
-662.124634,47,781.322205
-712.097621,41,787.421105
-707.112656,132,806.109156
-685.148262,67,816.584702
-721.278977,186,843.529204
-10.135278,38,849.598851
-274.19124,74,861.469671
-11.922718,60,871.201437
-13.700619,33,876.535646
-31.099066,76,888.25887
-782.225072,84,900.47321
-17.65751,64,909.565371
-27.916964,57,920.007586
-759.52302,75,932.131764
-23.835738,68,944.74463
-800.040852,284,990.562896
-1090.71694,194,1022.333124
-683.682529,72,1033.04313
-11.296043,23,1036.680491
-672.001793,34,1041.83974
-8.334856,40,1047.34753
-634.544006,29,1052.057686
-654.921577,44,1058.504623
-10.132665,36,1063.896172
-167.039628,117,1082.35056
-108.57565,250,1122.714607
-30.271649,66,1132.416098
-37.981675,99,1147.33445
-14.740847,28,1151.74747
-55.412833,153,1174.905145
-28.635425,79,1186.820881
-16.98358,33,1191.483389
-29.316586,93,1205.596272
-12.856513,39,1211.808438
-12.958192,40,1217.831361
-27.931111,64,1227.533778
-22.192764,81,1240.213392
-203.282524,300,1284.299337
-8.145435,28,1288.300667
-12.380692,37,1293.455406
-9.778321,23,1296.76705
-29.594601,120,1314.744061
-9.931399,35,1320.361859
-85.578779,67,1329.97497
-20.977893,61,1338.361379
-39.890914,194,1364.805185
-20.745362,50,1371.304697
-23.337459,49,1377.668432
-836.170337,107,1391.832629
-558.828274,300,1431.351213
-722.673891,84,1442.308205
-282.179927,300,1482.22442
-10.898734,41,1487.640813
-32.236061,84,1498.961089
-1106.868849,170,1523.063564
