#{"t_start": 1571866127.961002, "env_id": "highway-continuous-v0"}
r,l,t
-663.548514,34,5.268579
-982.262064,151,24.323126
-637.799489,63,36.428812
-623.291452,30,40.385472
-639.522054,26,47.841184
-644.838977,16,50.004695
-645.992376,18,52.355624
-625.023172,27,55.770083
-631.235705,24,58.878075
-638.637212,17,65.074336
-629.512886,30,69.064164
-632.912772,23,72.139363
-648.583339,16,74.345051
-633.119588,27,82.119478
-622.290984,26,86.117167
-630.957155,26,89.659455
-632.709359,22,93.952687
-646.863972,16,96.532014
-631.33841,21,131.771823
-631.327187,21,135.911724
-630.790806,22,139.284729
-632.333051,22,143.613094
-646.50253,16,147.292861
-635.129305,27,182.709051
-626.648098,27,187.889522
-636.435167,15,190.953351
-631.710119,31,197.105321
-634.42104,24,233.837387
-625.190313,27,238.888226
-645.963915,16,242.27038
-625.715556,31,249.419409
-649.190649,18,282.106736
-648.975001,30,288.762
-630.371381,25,293.784984
-630.464862,25,299.613137
-641.642073,26,332.691571
-640.2469,47,342.869842
-661.108272,19,346.928445
-641.808025,29,377.401353
-656.478663,19,381.348842
-633.288145,25,386.583639
-631.949614,32,393.502285
-654.676701,21,426.709257
-644.214056,53,438.196181
-651.711452,45,480.550434
-453.03651,119,567.118907
-669.346075,21,572.779132
-682.352025,38,581.968259
-749.40604,46,631.660701
-689.898703,33,638.287344
-639.888983,35,645.245886
-651.746946,51,693.359756
-671.221625,36,700.200685
-228.865098,39,743.609372
-672.587033,40,751.040531
-653.565638,20,754.841519
-1026.42088,81,806.493118
-707.951008,27,811.829037
-674.374231,31,850.72412
-709.417837,36,857.845849
-657.535754,35,866.73222
-660.101827,38,910.526669
-697.281214,47,920.5305
-31.233702,65,979.544265
-63.895721,65,1032.317376
-224.622441,138,1089.085126
-56.147362,300,1258.797996
-82.825347,300,1382.713621
-8.224513,34,1387.818351
-56.327318,126,1454.093956
-134.464201,300,1570.013777
-82.011342,300,1655.290427
-66.853027,79,1668.724374
-667.469075,75,1688.261501
-54.548209,208,1739.093587
-36.300142,150,1778.343196
-17.718839,37,1784.006946
-10.625681,42,1791.832656
-41.270304,130,1821.545843
-40.0653,93,1841.093624
-24.33368,74,1852.326693
-11.23394,27,1861.962484
-15.251209,39,1868.122187
-62.024619,232,1916.768298
-12.861859,33,1926.655663
-21.913052,60,1935.777136
-30.067254,76,1953.856213
-18.86519,72,1970.469185
-31.506287,100,1992.078013
-31.177721,98,2012.79638
-80.614667,230,2059.115894
-28.928704,105,2079.936084
-32.560698,102,2103.597281
-72.54906,300,2183.459052
-95.710342,300,2296.793787
-71.593786,300,2402.04223
-7.976539,26,2406.080429
-66.61457,300,2473.297713
-41.664613,117,2502.979208
-23.382356,52,2510.168427
-58.631103,187,2549.324934
-33.721523,118,2571.625897
-42.355997,100,2591.668875
-21.52271,52,2610.68514
-51.428696,163,2642.036031
-42.120179,107,2665.789771
-64.532865,192,2705.929639
-13.959251,58,2721.62636
-36.543343,127,2746.831922
-24.329332,61,2761.675546
-73.136359,227,2809.731573
-68.903531,300,2889.601738
-27.99806,79,2923.348874
-24.772463,94,2956.303418
-14.305736,31,2960.503936
-77.287088,300,3070.344515
-27.290731,86,3100.081284
-90.425912,62,3151.779883
-56.467413,110,3188.156573
-17.464371,58,3200.28743
-58.907175,207,3276.992434
-16.516626,51,3295.644962
-22.379784,56,3303.163286
-73.509037,68,3334.200136
-14.114498,57,3364.878512
-19.403853,65,3373.73647
-70.862283,300,3475.249418
-135.087688,158,3518.954477
-16.97441,52,3526.433062
-13.30715,30,3536.985947
-15.930381,38,3542.149488
-158.909495,139,3567.987914
-43.535737,116,3601.292913
-39.054821,134,3630.299523
-12.952109,33,3636.964282
-26.246192,69,3655.099382
-241.209997,210,3697.361723
-13.346531,44,3710.185694
-12.20346,26,3713.624081
-40.130342,123,3736.143466
-23.321042,77,3754.566516
-23.849961,47,3763.230368
-18.142208,72,3784.989494
-42.43485,132,3811.149539
-650.445372,54,3824.175399
-158.151899,300,3885.856218
-637.219379,53,3893.06734
-26.241067,72,3913.079025
-685.025977,29,3916.943606
-121.693524,111,3948.429141
-58.093413,92,3975.051595
-23.773439,66,4007.148731
-39.210547,113,4045.75126
-31.184884,97,4074.594151
-58.796195,171,4136.866671
-680.40586,66,4165.536084
-642.20817,31,4170.434396
-644.44118,31,4174.586024
-716.638648,35,4217.80748
-648.671148,19,4220.820718
-135.316859,300,4282.934541
-642.949684,31,4288.263965
-636.098164,28,4292.683041
-671.999758,71,4308.951
-647.265699,18,4311.738851
-633.794552,27,4315.523968
-627.924497,21,4323.425319
-633.017042,27,4327.76727
-633.681804,22,4331.379716
-637.632022,15,4333.354365
-644.194049,15,4335.349158
-624.84143,25,4344.816703
-645.520239,16,4347.626853
-627.500505,21,4350.852663
-632.743959,26,4354.378748
-624.893685,28,4363.582613
