#{"t_start": 1571866127.961002, "env_id": "highway-continuous-v0"}
r,l,t
-663.548514,34,5.268579
-982.262064,151,24.323126
-637.799489,63,36.428812
-623.291452,30,40.385472
-639.522054,26,47.841184
-644.838977,16,50.004695
-645.992376,18,52.355624
-625.023172,27,55.770083
-631.235705,24,58.878075
-638.637212,17,65.074336
-629.512886,30,69.064164
-632.912772,23,72.139363
-648.583339,16,74.345051
-633.119588,27,82.119478
-622.290984,26,86.117167
-630.957155,26,89.659455
-632.709359,22,93.952687
-646.863972,16,96.532014
-631.33841,21,131.771823
-631.327187,21,135.911724
-630.790806,22,139.284729
-632.333051,22,143.613094
-646.50253,16,147.292861
-635.129305,27,182.709051
-626.648098,27,187.889522
-636.435167,15,190.953351
-631.710119,31,197.105321
-634.42104,24,233.837387
-625.190313,27,238.888226
-645.963915,16,242.27038
-625.715556,31,249.419409
-649.190649,18,282.106736
-648.975001,30,288.762
-630.371381,25,293.784984
-630.464862,25,299.613137
-641.642073,26,332.691571
-640.2469,47,342.869842
-661.108272,19,346.928445
-641.808025,29,377.401353
-656.478663,19,381.348842
-633.288145,25,386.583639
-631.949614,32,393.502285
-654.676701,21,426.709257
-644.214056,53,438.196181
-651.711452,45,480.550434
-453.03651,119,567.118907
-669.346075,21,572.779132
-682.352025,38,581.968259
-749.40604,46,631.660701
-689.898703,33,638.287344
-639.888983,35,645.245886
-651.746946,51,693.359756
-671.221625,36,700.200685
-228.865098,39,743.609372
-672.587033,40,751.040531
-653.565638,20,754.841519
-1026.42088,81,806.493118
-707.951008,27,811.829037
-674.374231,31,850.72412
-709.417837,36,857.845849
-657.535754,35,866.73222
-660.101827,38,910.526669
-697.281214,47,920.5305
-31.233702,65,979.544265
-63.895721,65,1032.317376
-224.622441,138,1089.085126
-56.147362,300,1258.797996
-82.825347,300,1382.713621
-8.224513,34,1387.818351
-56.327318,126,1454.093956
-134.464201,300,1570.013777
-82.011342,300,1655.290427
-66.853027,79,1668.724374
-667.469075,75,1688.261501
-54.548209,208,1739.093587
-36.300142,150,1778.343196
-17.718839,37,1784.006946
-10.625681,42,1791.832656
-41.270304,130,1821.545843
-40.0653,93,1841.093624
-24.33368,74,1852.326693
-11.23394,27,1861.962484
-15.251209,39,1868.122187
