#{"env_id": "highway-continuous-v0", "t_start": 1571866117.6774704}
r,l,t
-704.275693,151,15.174932
-633.957215,44,19.999378
-629.781936,25,23.050472
-635.777432,28,26.659616
-626.056439,28,30.099175
-662.932961,35,34.358525
-627.197745,24,37.438382
-639.427763,17,39.575847
-641.754224,27,42.883577
-654.265539,19,45.21323
-631.556637,27,48.455413
-632.015937,24,51.444489
-626.283832,29,55.03093
-639.625215,24,57.951017
-629.07944,22,60.796257
-632.483319,42,66.126646
-643.96676,18,68.400482
-644.652455,19,70.820765
-692.472532,41,76.01146
-661.366776,29,79.662961
-636.478192,28,83.135341
-645.266824,16,85.175411
-681.647387,45,90.852273
-677.955596,32,95.198661
-632.277068,28,98.884068
-664.069393,121,115.552359
-645.712709,80,127.513624
-630.687703,27,132.254683
-646.599312,17,136.501093
-630.541004,28,140.530902
-666.999244,37,146.121268
-642.103848,35,150.939218
-7.353789,25,154.634013
-662.271389,72,166.20068
-632.755851,31,170.907891
-662.247302,49,178.52886
-645.615879,69,189.154223
-668.080358,31,193.886309
-668.752,32,198.566572
-86.636886,278,242.313083
-20.293142,53,250.200233
-701.718236,76,261.170323
-827.678994,100,276.847227
-655.524306,46,283.8901
-655.860786,40,289.880165
-10.193656,24,293.953058
-8.004152,26,297.845035
-10.195818,23,301.635531
-366.242851,122,320.931446
-691.577744,37,326.933737
-12.562626,39,332.881209
-662.620278,38,339.087167
-12.323983,24,342.679268
-697.983294,37,348.167091
-657.427911,34,353.158809
-700.515374,82,365.22659
-664.939397,42,371.530079
-681.996391,42,377.76486
-10.850946,26,381.655707
-10.58183,34,387.119672
-790.787008,65,396.818276
-667.997901,61,406.198689
-674.700332,115,423.694791
-778.873833,50,431.465723
-634.380012,62,440.74518
-285.57512,129,460.650598
-643.844014,17,463.470837
-27.340113,76,476.720364
-765.099992,167,505.908345
-37.950503,146,534.862636
-650.762541,34,542.016481
-910.08667,80,558.794734
-909.463167,238,605.181672
-706.200392,108,624.03558
-17.55084,55,633.916984
-676.45972,84,647.577593
-656.299,40,653.615677
-728.224425,115,674.289064
-744.642215,61,683.67996
-37.24616,93,698.640714
-677.339933,85,712.206236
-843.087708,49,719.640131
-699.283293,63,729.730769
-1112.506067,235,767.022442
-837.276209,199,798.607953
-678.992924,95,813.284667
-97.675654,300,860.691893
-753.224298,71,872.023224
-17.083802,41,879.046048
-713.719244,37,885.184839
-6.833448,25,889.29223
-693.353444,115,909.923597
-38.472222,109,927.14589
-659.477492,39,933.748026
-760.845769,40,941.783336
-798.727976,78,955.567157
-19.953099,55,965.35611
-927.365145,76,979.130311
-673.474967,92,995.641879
-27.740405,118,1016.60445
-702.908221,101,1034.972237
-27.956431,99,1052.027548
-764.699278,58,1062.08507
-660.016614,100,1077.787661
-662.67911,50,1086.063175
-25.879658,82,1099.819805
-67.90897,300,1152.322984
-144.585054,101,1168.176566
-1011.257277,220,1204.784858
-677.271195,38,1210.963113
-681.784243,110,1228.884225
-84.965489,300,1275.932874
-792.650426,162,1300.94035
-748.72141,128,1321.646281
-48.59412,100,1337.415422
-17.246429,57,1346.789182
-46.395595,167,1370.949319
-11.592071,26,1375.150487
-18.555549,76,1386.275692
-702.760625,87,1398.542518
-86.78732,300,1441.698959
-14.523623,32,1446.473375
-36.416951,69,1456.458969
-12.290325,28,1460.576797
-84.898895,92,1473.721251
-18.706588,41,1479.623451
-715.072444,267,1517.460716
-732.443807,55,1525.82621
-702.675899,63,1535.986822
-22.41623,47,1543.348755
-644.672645,83,1554.550951
-666.03602,43,1560.796932
-10.985594,33,1565.675432
-25.448494,55,1573.381565
-633.280396,40,1579.316451
-11.343949,24,1582.826337
-15.080768,32,1587.371636
-655.672899,62,1596.002651
-19.545845,50,1603.574581
-674.537865,79,1614.972853
-676.147681,39,1620.299527
-646.696322,56,1628.268329
-634.507015,44,1634.687602
-653.113373,31,1639.091731
-645.458565,22,1642.167869
-14.984175,64,1651.330154
-636.017455,36,1656.430313
-643.992681,16,1658.769511
-637.273574,20,1661.742764
-642.117086,34,1666.730532
-658.406383,24,1670.137363
-644.396552,18,1672.768595
-661.599424,133,1691.998517
-622.224008,26,1695.62039
-74.392838,300,1738.746125
-636.22804,26,1742.407649
-633.871855,47,1749.26618
-644.766396,20,1752.316534
-678.520926,257,1788.340981
-650.78481,20,1791.269299
-15.406987,28,1795.351207
-639.386093,36,1800.930068
-679.655414,191,1825.573624
-640.793099,27,1828.905328
-39.038356,137,1846.489507
-639.461833,16,1848.578863
-637.707841,23,1851.497374
-638.547498,17,1853.688534
-76.179183,242,1883.953605
-15.363042,38,1888.726225
-12.238109,44,1894.600775
-668.254233,32,1898.471444
