EpThisIter,entloss,entropy,EpisodesSoFar,surrgain,TimeElapsed,explained_variance_tdlam_before,EpLenMean,optimgain,meankl,EpRewMean,TimestepsSoFar,EpRew/step
14,0.0,1.6024477,14,0.037616633,129.32319855690002,-0.05104565620422363,55.214285714285715,0.037616633,0.00715176,-24.06155414285714,1024,-0.45871590954317226
17,0.0,1.5982074,31,0.039189074,278.2934219837189,-0.05172157287597656,64.70967741935483,0.039189074,0.0072675855,-26.331513612903223,2048,-0.429755429558749
14,0.0,1.5779147,45,0.041988574,425.16459703445435,-1.3771653175354004,70.325,0.041988574,0.008707775,-27.605240075,3072,-0.4059625110149607
18,0.0,1.5728259,63,0.038339294,606.4889941215515,-0.07937490940093994,62.7,0.038339294,0.0075765615,-24.092439074999998,4096,-0.39500683368696904
15,0.0,1.5484308,78,0.041023616,766.0042126178741,-0.12269330024719238,61.5,0.041023616,0.008675443,-24.062787325,5120,-0.3996846402897466
10,0.0,1.4786407,88,0.03219302,924.314795255661,0.09256267547607422,72.1,0.03219302,0.009073523,-27.25843205,6144,-0.3940905206111214
13,0.0,1.5258659,101,0.041442193,1095.2201907634735,-0.06439208984375,79.275,0.041442193,0.008163148,-30.013531324999995,7168,-0.391240566070114
9,0.0,1.4917772,110,0.04353615,1252.986804008484,0.008282959461212158,89.325,0.04353615,0.009470333,-32.589458225,8192,-0.38234147282341224
8,0.0,1.4551268,118,0.035375707,1399.303482055664,0.028521180152893066,104.475,0.035375707,0.008865368,-36.295894849999996,9216,-0.360255430599124
8,0.0,1.4151161,126,0.043723404,1536.4825196266174,-0.08208942413330078,104.8,0.043723404,0.010746275,-35.032345125,10240,-0.35109364095274564
11,0.0,1.4433262,137,0.03639447,1672.78937625885,-0.08324503898620605,110.675,0.03639447,0.007891908,-35.1029446,11264,-0.33812798412126616
12,0.0,1.4307783,149,0.042748585,1804.3183856010437,-0.0304563045501709,105.1,0.042748585,0.008446606,-32.62419335,12288,-0.3290424641001943
7,0.0,1.4258432,156,0.038976237,1925.73344039917,-0.008463859558105469,104.225,0.038976237,0.008379664,-30.1009058,13312,-0.3144115939443773
6,0.0,1.4013662,162,0.03747703,2047.364747285843,-0.09041488170623779,107.125,0.03747703,0.009386329,-30.116140100000003,14336,-0.31714998039991416
7,0.0,1.3392141,169,0.037110217,2168.5926558971405,0.014778852462768555,115.25,0.037110217,0.008668833,-33.205198625,15360,-0.3170052484766551
6,0.0,1.3568707,175,0.0402336,2297.0183975696564,-0.09500181674957275,124.175,0.0402336,0.008949273,-33.7284207,16384,-0.29487373512980336
7,0.0,1.3411115,182,0.03783677,2424.7196593284607,0.04065048694610596,137.725,0.03783677,0.008966543,-36.14212834999999,17408,-0.2900195090477916
6,0.0,1.3450727,188,0.040712994,2543.0512421131134,0.006193995475769043,154.2,0.040712994,0.009671428,-38.595980575,18432,-0.2740264693715037
12,0.0,1.3390353,200,0.039249655,2668.163655757904,0.05445563793182373,135.025,0.039249655,0.009678459,-34.489819375,19456,-0.2798520531663648
8,0.0,1.3184881,208,0.0409412,2792.2781131267548,-0.02362382411956787,129.975,0.0409412,0.009591781,-30.6009093,20480,-0.2713833725002118
7,0.0,1.2894235,215,0.045351125,2918.9813265800476,0.12369531393051147,131.275,0.045351125,0.0086738495,-30.080803575000004,21504,-0.2647769310376614
4,0.0,1.2698678,219,0.035812236,3045.148615837097,0.18089407682418823,137.05,0.035812236,0.009827755,-29.686899100000005,22528,-0.25671236740359704
11,0.0,1.2654991,230,0.03650445,3183.3711128234863,0.06944894790649414,124.9,0.03650445,0.009747742,-26.28804545,23552,-0.25136111026287467
9,0.0,1.251365,239,0.044110265,3314.9491827487946,0.03133755922317505,126.625,0.044110265,0.01104999,-25.551868925,24576,-0.24974075913693108
10,0.0,1.2422671,249,0.03296896,3438.6502594947815,0.13396036624908447,123.825,0.03296896,0.009296454,-24.565833125,25600,-0.2409083847468363
12,0.0,1.2246342,261,0.03781763,3561.8591780662537,0.16845792531967163,93.3,0.03781763,0.009431817,-20.474565475,26624,-0.2600431798846861
9,0.0,1.2019655,270,0.03857413,3686.092851161957,0.059919893741607666,102.05,0.03857413,0.009345318,-21.056401225,27648,-0.24736680879776413
12,0.0,1.1699545,282,0.032898046,3809.0312037467957,-0.08409059047698975,96.225,0.032898046,0.009194171,-21.163753125,28672,-0.2552262857173028
5,0.0,1.1170808,287,0.041169547,3930.346359729767,-0.21759450435638428,102.375,0.041169547,0.008877456,-21.61140735,29696,-0.2572042684358668
7,0.0,1.1963601,294,0.036960557,4058.0190908908844,0.10072070360183716,118.425,0.036960557,0.010004298,-22.69112055,30720,-0.25012703194461194
6,0.0,1.1463544,300,0.037234735,4182.057770490646,0.1432005763053894,133.175,0.037234735,0.010757116,-23.888925375000003,31744,-0.24153642335018502
6,0.0,1.1442641,306,0.028168222,4308.718213796616,-0.17334210872650146,135.425,0.028168222,0.009659071,-22.917372625000002,32768,-0.24100236052701432
