#{"env_id": "highway-discrete-v0", "t_start": 1571866136.9782069}
r,l,t
-17.073678,34,6.468238
-27.242564,59,13.28031
-22.271234,45,18.358622
-37.474885,84,28.157223
-14.52221,27,31.201906
-23.35355,53,37.386773
-22.40292,36,41.599961
-9.474941,22,44.152104
-11.679105,26,47.296156
-51.253311,124,61.275356
-9.193599,18,63.257589
-29.329868,69,71.064017
-22.564311,77,80.439033
-39.025582,99,93.927462
-105.741596,280,135.230799
-9.171682,31,139.441822
-22.178761,68,150.080099
-8.148191,18,152.895181
-22.651789,58,161.620887
-40.321598,89,174.176394
-68.487735,165,197.573904
-20.136127,50,205.285389
-13.925621,28,209.440895
-17.161881,34,214.18556
-12.248085,31,218.745513
-14.37822,41,224.561144
-38.166733,98,238.186664
-22.199531,67,248.40805
-11.081471,25,252.377434
-39.777979,118,269.241433
-13.638164,32,274.057122
-14.932889,44,280.731459
-10.432169,22,284.033618
-101.044706,269,322.287483
-42.436449,114,337.913213
-9.562538,22,341.185869
-23.102346,63,349.868579
-10.941582,36,355.145277
-9.785463,26,359.34552
-21.84495,55,367.508249
-14.609412,41,373.570148
-20.19409,64,382.720678
-75.881805,183,408.789945
-10.871476,21,411.896927
-40.877377,96,425.449541
-34.794768,100,440.134373
-15.438606,34,445.204227
-16.787998,48,452.912836
-10.052262,22,456.478669
-17.805806,72,469.025667
-28.853637,76,481.124234
-10.663567,30,485.676234
-33.296363,79,500.218831
-15.773269,43,508.463794
-29.637957,63,521.6355
-18.195271,35,529.512533
-13.731802,38,537.293775
-29.707468,89,554.963407
-17.39325,59,565.77503
-13.100308,29,570.805053
-35.256277,80,584.798388
-27.44524,67,595.950826
-20.594398,42,602.903603
-31.38121,83,617.735062
-11.801498,27,621.636028
-14.598906,33,626.642869
-70.050128,188,656.572468
-17.42593,45,663.243928
-16.03647,33,668.523377
-6.115687,42,675.350832
-10.978509,25,679.262567
-11.849819,36,684.265356
-20.787209,48,691.344628
-26.085136,58,700.540295
-75.957769,205,732.47559
-44.532262,95,746.613504
-10.602926,24,750.355155
-11.715214,26,755.083288
-109.777802,300,800.332446
-51.422858,130,819.383017
-9.376579,29,823.885555
-21.398106,51,831.873756
-13.293064,38,837.71517
-75.595165,243,875.999699
-55.004147,163,900.991241
-16.451837,36,906.218395
-20.700335,68,917.24947
-15.891841,34,923.396306
-21.10441,52,932.55684
-37.242406,100,949.869077
-88.391106,189,982.443367
-20.794787,52,991.446213
-11.010698,35,997.111535
-17.05308,47,1004.928507
-23.376596,50,1012.780213
-19.271463,55,1022.462396
-32.749285,114,1040.890831
-10.394634,21,1044.071906
-27.269116,90,1057.555034
-51.971957,136,1079.324779
-23.04167,61,1090.219556
-17.431462,46,1098.563996
-51.590016,162,1125.04879
-98.303774,300,1169.151909
-21.427446,49,1176.985094
-34.873065,95,1191.340096
-15.566454,68,1202.068352
-62.822005,202,1233.133076
-7.653377,20,1236.263258
-8.818944,20,1239.875878
-43.492209,130,1259.378636
-72.703379,194,1288.525311
-17.29091,51,1295.698778
-50.687453,167,1321.122988
-99.317715,300,1362.545366
-42.374355,143,1381.345651
-18.663219,83,1392.928545
-16.237069,55,1400.950247
-15.896303,57,1408.803275
-93.81679,300,1448.268899
-28.793072,95,1460.52797
-62.230227,195,1486.815879
-12.462457,27,1490.349633
-19.715379,50,1497.18186
-24.094642,81,1508.611685
-44.768699,198,1535.25482
-23.472989,86,1546.999384
-73.670569,300,1587.718458
-15.79024,57,1595.179797
-97.360968,300,1634.626593
-7.91012,18,1637.495672
-23.490849,61,1645.382907
-13.266081,24,1648.535317
-12.023428,32,1652.611614
-15.704847,63,1660.525367
-21.922898,61,1668.66164
-5.796997,29,1672.687295
-49.196021,181,1696.69286
-6.321355,25,1699.903394
-8.918009,25,1703.182504
-17.275272,48,1709.713242
-59.972459,171,1731.72406
-12.76065,45,1737.574754
-80.205212,266,1772.494816
-12.614055,30,1776.399224
-15.159823,42,1782.044413
-10.628495,27,1785.617057
-19.894993,73,1793.904204
-30.248582,94,1804.761119
-6.011941,46,1810.382102
-38.674789,135,1826.257521
-13.00851,44,1831.464406
-64.999555,300,1867.289286
-58.218778,299,1902.564639
-37.304845,100,1914.38792
-15.535045,46,1919.9303
-64.006038,256,1950.346649
-65.594788,206,1974.675853
-9.307676,26,1977.844468
-61.378895,300,2012.835277
-27.208906,92,2024.137828
-8.749749,21,2026.782365
-96.575689,300,2062.297769
-17.045936,64,2069.878798
-52.44846,183,2091.38398
-77.420144,300,2126.251053
-25.895148,86,2136.96309
-60.528195,171,2157.613668
-7.623744,20,2160.176472
-50.574855,300,2195.732542
-60.324237,246,2225.70627
-25.054064,82,2236.334658
-17.468806,61,2243.82823
-27.546436,118,2259.327777
-9.716778,48,2265.770063
-63.050305,278,2301.623119
-66.208453,300,2341.394508
-25.650445,81,2351.629082
-32.454197,134,2368.58391
-51.222551,199,2392.355249
-14.49988,62,2399.882623
-12.865486,28,2403.37089
-67.349212,300,2438.341162
-67.725598,300,2473.628762
-18.808389,99,2484.769548
-54.7642,300,2518.867524
-20.844168,73,2527.362681
-19.92575,70,2535.762577
-29.768907,111,2548.671627
-25.072679,88,2558.791656
-27.847174,126,2574.100283
-14.388949,50,2579.864418
-29.214995,90,2590.927606
-16.776494,70,2600.212396
-27.328735,131,2616.175621
-5.722331,17,2618.475112
-18.1109,43,2623.746788
-25.998182,105,2636.279465
-55.112087,191,2660.064107
-24.701561,63,2667.558581
-17.868309,54,2674.392189
-24.071598,156,2693.180036
-10.9114,31,2696.921396
-10.420924,31,2700.723444
-52.29502,300,2736.83894
-20.945854,49,2742.800002
-54.565125,300,2778.928655
-19.237594,94,2790.44422
-21.378846,105,2803.164858
-16.261195,71,2811.551045
-50.191641,267,2843.638407
-15.20914,52,2849.927487
-15.692423,88,2860.703955
-44.788344,300,2899.949548
-13.983102,44,2905.50281
-44.51155,300,2942.111908
-39.48215,204,2965.903204
-46.509742,300,3001.497277
-41.103779,220,3031.295351
-52.812322,300,3069.396474
-18.063958,93,3081.825931
-14.778576,32,3085.896148
-13.535855,41,3091.135175
-20.040057,78,3101.023777
-15.738247,81,3112.982985
-20.921804,104,3127.585566
-33.819976,97,3141.220676
-31.806065,152,3160.719077
-9.443324,87,3172.630478
-15.93249,79,3184.159779
-20.126,124,3201.762805
-28.306982,108,3215.737887
-27.941383,145,3234.115109
-5.975323,14,3236.067021
-12.600974,35,3240.999074
-14.197408,40,3246.451796
-43.856035,300,3284.182882
-17.411915,56,3290.786863
-20.636766,70,3299.309289
-46.469927,265,3333.129394
-12.029582,48,3338.647923
-14.568031,32,3342.653412
-55.762759,300,3377.906596
-21.744049,124,3392.82609
-8.643395,38,3397.273907
-19.883849,104,3409.476186
-7.970432,27,3412.948917
-16.943834,73,3421.323123
-12.938941,60,3428.923202
-27.678257,98,3441.504308
-19.819615,44,3447.746453
-7.756524,27,3452.664204
-22.046174,134,3468.559218
-17.687546,149,3486.008694
-15.106979,37,3490.342597
-27.989409,119,3505.261707
-20.494662,97,3516.260889
-9.819008,41,3521.258312
-19.978787,68,3529.11698
-6.470171,25,3531.886988
-40.111508,179,3552.057567
-24.079236,149,3569.752965
-9.272059,50,3575.457571
-49.311416,300,3613.260328
-17.21638,137,3629.845503
-14.711889,62,3637.391245
-20.238167,57,3644.197695
-18.843097,130,3660.124328
-28.905697,143,3676.893167
-16.711883,73,3685.516386
-13.76826,34,3689.753505
-18.609475,79,3699.00731
-18.66939,76,3707.598822
-16.436563,42,3712.674821
-18.02497,47,3718.262079
-23.256639,104,3730.426479
-16.913161,54,3737.09127
-24.366493,83,3746.908975
-63.014153,300,3784.238078
-28.606211,114,3798.202549
-8.309027,22,3800.75501
-18.44006,49,3806.446539
-44.441991,300,3841.666163
-39.979446,300,3876.165648
-11.580308,50,3882.053306
-9.725111,20,3884.420693
